ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948791,5200,,5200,Yokohama Canon Eagles,0.00,5.00,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:26Z,0,0,0,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,,,,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948791,61761,Yuragi Muto,5200,Yokohama Canon Eagles,0.00,5.00,1,1,50,34,91,30,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,754,Kicked Straight,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,41,41,4,0,2026-02-14T03:00:26Z,1,0,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
2,948791,25514,Isaac Lucas,5208,BlackRams Tokyo,5.00,5.00,6,1,9,38,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:31Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,15,15,Full Back,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
3,948791,0,,5208,BlackRams Tokyo,5.00,5.00,6,1,9,38,0,0,45,Defensive Exits,628,Failed Exit From 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,0,0,0,2026-02-14T03:00:31Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,,,,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
4,948791,25514,Isaac Lucas,5208,BlackRams Tokyo,5.00,9.24,6,1,9,38,19,42,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,10,10,4,2,2026-02-14T03:00:31Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,15,15,Full Back,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,36584,Tatsuro Sugimoto,5200,Yokohama Canon Eagles,8
5,948791,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,7.00,7.00,8,1,85,29,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:33Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,02,2,Hooker,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,25514,Isaac Lucas,5208,BlackRams Tokyo,4
6,948791,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,7.00,7.00,8,1,85,29,0,0,12,Missed Tackle,163,Stepped,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:33Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,02,2,Hooker,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,25514,Isaac Lucas,5208,BlackRams Tokyo,4
7,948791,25514,Isaac Lucas,5208,BlackRams Tokyo,7.20,7.20,8,1,15,39,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:33Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,15,15,Full Back,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
8,948791,36584,Tatsuro Sugimoto,5200,Yokohama Canon Eagles,8.36,8.36,10,1,83,27,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:35Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,03,3,Tighthead Prop,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,25514,Isaac Lucas,5208,BlackRams Tokyo,4
9,948791,25514,Isaac Lucas,5208,BlackRams Tokyo,9.24,12.04,10,1,19,42,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,1,12,2026-02-14T03:00:35Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,15,15,Full Back,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,18502,TJ Perenara,5208,BlackRams Tokyo,13
10,948791,28937,Masashi Onishi,5208,BlackRams Tokyo,9.44,9.44,11,1,19,42,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:36Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,02,2,Hooker,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
11,948791,37094,Samuel Waqabaca,5208,BlackRams Tokyo,10.36,10.36,12,1,19,42,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:37Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,08,8,Number 8,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
12,948791,32520,Yuki Ikeda,5208,BlackRams Tokyo,11.04,11.04,12,1,19,42,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:37Z,1,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,12,12,Inside Centre,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
13,948791,18502,TJ Perenara,5208,BlackRams Tokyo,12.04,12.04,13,1,18,41,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:38Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,09,9,Scrum Half,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
14,948791,18502,TJ Perenara,5208,BlackRams Tokyo,12.04,12.04,13,1,18,41,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:38Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,09,9,Scrum Half,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
15,948791,18502,TJ Perenara,5208,BlackRams Tokyo,13.08,13.52,14,1,17,42,17,35,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,7,7,1,0,2026-02-14T03:00:39Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,09,9,Scrum Half,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,61472,Ichigo Nakakusu,5208,BlackRams Tokyo,16
16,948791,61472,Ichigo Nakakusu,5208,BlackRams Tokyo,13.52,13.52,15,1,17,35,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:40Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
17,948791,61472,Ichigo Nakakusu,5208,BlackRams Tokyo,13.52,13.52,15,1,17,35,0,0,47,Playmaker Options,656,First Receiver,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:40Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
18,948791,61472,Ichigo Nakakusu,5208,BlackRams Tokyo,14.08,14.24,15,1,18,35,16,32,3,Pass,169,Complete,0,,679,Short Pass,681,Left Pass,701,1st Receiver,0,,0,,0,,0,,0,,3,4,2,0,2026-02-14T03:00:40Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,17208,Liam Gill,5208,BlackRams Tokyo,19
19,948791,17208,Liam Gill,5208,BlackRams Tokyo,14.24,14.24,15,1,16,32,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:40Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,07,7,Openside Flanker,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
20,948791,17208,Liam Gill,5208,BlackRams Tokyo,14.24,14.24,15,1,16,32,0,0,47,Playmaker Options,657,Second Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:40Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,07,7,Openside Flanker,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
21,948791,17208,Liam Gill,5208,BlackRams Tokyo,14.24,17.00,15,1,16,32,20,30,1,Carry,103,Other Carry,119,Error,110,Neutral Gain line,460,Dominant Contact,502,2 Tacklers Committed,702,2nd Receiver,0,,0,,0,,0,,1,3,1,1,2026-02-14T03:00:40Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,07,7,Openside Flanker,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,28966,Amanaki Saumaki,5200,Yokohama Canon Eagles,22
22,948791,28966,Amanaki Saumaki,5200,Yokohama Canon Eagles,15.48,15.48,17,1,82,37,0,0,2,Tackle,144,Line,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:42Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,08,8,Number 8,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,17208,Liam Gill,5208,BlackRams Tokyo,21
23,948791,20669,Jesse Kriel,5200,Yokohama Canon Eagles,16.84,16.84,18,1,82,37,0,0,2,Tackle,144,Line,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:43Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,13,13,Outside Centre,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,17208,Liam Gill,5208,BlackRams Tokyo,21
24,948791,17208,Liam Gill,5208,BlackRams Tokyo,17.00,19.64,18,1,20,30,0,0,23,Ruck,0,,401,Won Outright,550,Equal to Previous  Gainline,554,2-3 Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:43Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,07,7,Openside Flanker,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
25,948791,30975,Yuichiro Taniguchi,5208,BlackRams Tokyo,17.24,17.24,18,1,20,30,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:43Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,01,1,Loosehead Prop,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
26,948791,61944,Reijiro Yamamoto,5208,BlackRams Tokyo,18.12,18.12,19,1,20,30,0,0,43,Ruck OOA,575,Attended,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:44Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,04,4,Lock (4),0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
27,948791,17208,Liam Gill,5208,BlackRams Tokyo,18.24,18.24,19,1,19,30,0,0,8,Turnover,254,Dropped Ball Unforced,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:44Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,07,7,Openside Flanker,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
28,948791,0,,5208,BlackRams Tokyo,5.00,19.64,21,1,9,38,20,32,15,Possession,307,50m Restart,318,Turnover,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,11,0,0,0,2026-02-14T03:00:31Z,2,1,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,,,,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,0,,0,,
29,948791,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,19.64,19.64,21,1,80,36,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:46Z,1,2,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,02,2,Hooker,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
30,948791,0,,5200,Yokohama Canon Eagles,19.64,59.04,21,1,80,36,96,45,46,Attacking 22 Entry,641,22 Entry Outcome - Penalty Conceded,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:46Z,1,2,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,,,,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
31,948791,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,20.40,21.12,22,1,81,36,80,34,3,Pass,169,Complete,0,,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,2,2,1,0,2026-02-14T03:00:47Z,1,2,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,02,2,Hooker,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,28401,Cormac Daly,5200,Yokohama Canon Eagles,32
32,948791,28401,Cormac Daly,5200,Yokohama Canon Eagles,21.12,21.12,22,1,80,34,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:47Z,1,2,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,04,4,Lock (4),0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
33,948791,28401,Cormac Daly,5200,Yokohama Canon Eagles,21.12,23.24,22,1,80,34,83,32,1,Carry,103,Other Carry,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,501,1 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,2,3,1,1,2026-02-14T03:00:47Z,1,2,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,04,4,Lock (4),0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,23339,Josh Goodhue,5208,BlackRams Tokyo,35
34,948791,0,,5200,Yokohama Canon Eagles,22.28,22.28,24,1,82,33,0,0,20,Ref Review,245,Advantage,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:46Z,1,2,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,,,,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
35,948791,23339,Josh Goodhue,5208,BlackRams Tokyo,22.64,22.64,24,1,18,35,0,0,2,Tackle,147,Other,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:49Z,1,2,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,05,5,Lock (5),0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,N,W,28401,Cormac Daly,5200,Yokohama Canon Eagles,33
36,948791,28401,Cormac Daly,5200,Yokohama Canon Eagles,23.24,24.76,24,1,83,32,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,553,1-2 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,10,19,2026-02-14T03:00:49Z,1,2,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,04,4,Lock (4),0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,59853,Asahi Doei,5200,Yokohama Canon Eagles,39
37,948791,36584,Tatsuro Sugimoto,5200,Yokohama Canon Eagles,24.32,24.32,26,1,83,32,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:51Z,1,2,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,03,3,Tighthead Prop,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
38,948791,26603,Shunta Nakamura,5200,Yokohama Canon Eagles,24.36,24.36,26,1,83,32,0,0,43,Ruck OOA,575,Attended,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:51Z,1,2,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,02,2,Hooker,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
39,948791,59853,Asahi Doei,5200,Yokohama Canon Eagles,24.76,24.76,26,1,82,32,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-14T03:00:51Z,2,2,1,0,0,5200,Yokohama Canon Eagles,5208,BlackRams Tokyo,14/02/2026,12:00,17,13,31,53,0,0,69,Prince Chichibu Memorial Stadium,-1,,8,2026,09,9,Scrum Half,0,,0,,1001683,Masaki Kondo,1001807,Teruki Inanishi,1002085,Meitetsu Shimizu,1000818,Tasuku Kawahara,421,Japan Rugby League One D1,Y,L,0,,0,,
