ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948832,5212,,5212,Shizuoka BlueRevs,0.00,4.76,1,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:30:25Z,0,0,0,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,,,,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
1,948832,38476,Kakeru Okumura,5212,Shizuoka BlueRevs,0.00,4.76,1,1,49,34,90,55,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,41,46,21,0,2026-04-18T05:30:25Z,1,0,1,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,10,10,Fly Half,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
2,948832,23421,Ryuji Noguchi,19567,Saitama Wild Knights,4.76,4.76,6,1,10,13,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:30:29Z,1,1,1,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,15,15,Full Back,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
3,948832,0,,19567,Saitama Wild Knights,4.76,4.76,6,1,10,13,0,0,45,Defensive Exits,628,Failed Exit From 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,0,0,0,2026-04-18T05:30:29Z,1,1,1,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,,,,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
4,948832,23421,Ryuji Noguchi,19567,Saitama Wild Knights,4.76,7.96,6,1,10,13,15,3,1,Carry,105,Restart Return,119,Error,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,1,0,2026-04-18T05:30:29Z,1,1,1,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,15,15,Full Back,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,20655,Kwagga Smith,5212,Shizuoka BlueRevs,8
5,948832,58068,Futo Yamaguchi,5212,Shizuoka BlueRevs,6.20,6.20,7,1,86,60,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:30:31Z,1,1,1,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,14,14,Right Wing,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,23421,Ryuji Noguchi,19567,Saitama Wild Knights,4
6,948832,58068,Futo Yamaguchi,5212,Shizuoka BlueRevs,6.20,6.20,7,1,86,60,0,0,12,Missed Tackle,163,Stepped,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:30:31Z,1,1,1,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,14,14,Right Wing,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,23421,Ryuji Noguchi,19567,Saitama Wild Knights,4
7,948832,23421,Ryuji Noguchi,19567,Saitama Wild Knights,6.24,6.24,7,1,14,8,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:30:31Z,1,1,1,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,15,15,Full Back,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
8,948832,20655,Kwagga Smith,5212,Shizuoka BlueRevs,7.84,7.84,9,1,86,63,0,0,2,Tackle,142,Chase,156,Turnover Won,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:30:32Z,1,1,1,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,08,8,Number 8,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,23421,Ryuji Noguchi,19567,Saitama Wild Knights,4
9,948832,23421,Ryuji Noguchi,19567,Saitama Wild Knights,7.96,7.96,9,1,15,3,0,0,8,Turnover,256,Lost Ball Forced,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:30:32Z,1,1,1,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,15,15,Full Back,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
10,948832,0,,5212,Shizuoka BlueRevs,0.00,11.00,12,1,49,34,86,66,26,Sequences,307,50m Restart,411,Turnover (Scrum),0,,0,,0,,0,,0,,0,,0,,0,,37,0,0,0,2026-04-18T05:30:25Z,1,1,1,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,,,,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
11,948832,0,,19567,Saitama Wild Knights,4.76,11.00,12,1,10,13,14,2,15,Possession,307,50m Restart,411,Turnover (Scrum),0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,4,0,0,0,2026-04-18T05:30:29Z,1,1,1,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,,,,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
12,948832,62194,Shuntaro Kitamura,5212,Shizuoka BlueRevs,48.40,49.80,50,1,86,61,0,0,5,Scrum,0,,259,Reset,365,Neutral,0,,676,N/A Movement Scrum,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,09,9,Scrum Half,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
13,948832,43575,Kenta Yamashita,5212,Shizuoka BlueRevs,48.40,49.80,50,1,86,61,0,0,28,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,01,1,Loosehead Prop,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
14,948832,26310,Takeshi Hino,5212,Shizuoka BlueRevs,48.40,49.80,50,1,86,61,0,0,28,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,02,2,Hooker,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
15,948832,26340,Heiichiro Ito,5212,Shizuoka BlueRevs,48.40,49.80,50,1,86,61,0,0,28,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,03,3,Tighthead Prop,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
16,948832,39245,Justin Sangster,5212,Shizuoka BlueRevs,48.40,49.80,50,1,86,61,0,0,28,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,04,4,Lock (4),0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
17,948832,19737,Murray Douglas,5212,Shizuoka BlueRevs,48.40,49.80,50,1,86,61,0,0,28,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,05,5,Lock (5),0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
18,948832,62314,Vueti Tupou,5212,Shizuoka BlueRevs,48.40,49.80,50,1,86,61,0,0,28,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,06,6,Blindside Flanker,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
19,948832,33358,Daniel Maiava,5212,Shizuoka BlueRevs,48.40,49.80,50,1,86,61,0,0,28,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,07,7,Openside Flanker,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
20,948832,20655,Kwagga Smith,5212,Shizuoka BlueRevs,48.40,49.80,50,1,86,61,0,0,28,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,08,8,Number 8,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
21,948832,21191,Keita Inagaki,19567,Saitama Wild Knights,48.40,49.80,50,1,86,61,0,0,29,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,01,1,Loosehead Prop,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
22,948832,24939,Atsushi Sakate,19567,Saitama Wild Knights,48.40,49.80,50,1,86,61,0,0,29,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,02,2,Hooker,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
23,948832,26232,Asaeli Ai Valu,19567,Saitama Wild Knights,48.40,49.80,50,1,86,61,0,0,29,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,03,3,Tighthead Prop,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
24,948832,28850,Liam Mitchell,19567,Saitama Wild Knights,48.40,49.80,50,1,86,61,0,0,29,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,04,4,Lock (4),0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
25,948832,27745,Esei Haangana,19567,Saitama Wild Knights,48.40,49.80,50,1,86,61,0,0,29,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,05,5,Lock (5),0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
26,948832,26296,Ryota Hasegawa,19567,Saitama Wild Knights,48.40,49.80,50,1,86,61,0,0,29,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,06,6,Blindside Flanker,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
27,948832,21724,Lachlan Boshier,19567,Saitama Wild Knights,48.40,49.80,50,1,86,61,0,0,29,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,07,7,Openside Flanker,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
28,948832,66532,Juan Wilson,19567,Saitama Wild Knights,48.40,49.80,50,1,86,61,0,0,29,,0,,259,Reset,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,08,8,Number 8,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
29,948832,0,,5212,Shizuoka BlueRevs,48.40,127.40,50,1,86,61,101,65,46,Attacking 22 Entry,645,22 Entry Outcome - Try,650,22 Entry Points - Try and Conversion,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,,,,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
30,948832,0,,5212,Shizuoka BlueRevs,48.40,49.80,51,1,86,61,86,61,26,Sequences,785,Scrum Reset,317,Scrum,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:16Z,1,1,2,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,,,,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
31,948832,62194,Shuntaro Kitamura,5212,Shizuoka BlueRevs,84.08,87.92,125,1,86,61,0,0,5,Scrum,0,,357,Won Penalty,365,Neutral,0,,676,N/A Movement Scrum,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,09,9,Scrum Half,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
32,948832,43575,Kenta Yamashita,5212,Shizuoka BlueRevs,84.08,87.92,125,1,86,61,0,0,28,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,01,1,Loosehead Prop,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
33,948832,26310,Takeshi Hino,5212,Shizuoka BlueRevs,84.08,87.92,125,1,86,61,0,0,28,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,02,2,Hooker,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
34,948832,26340,Heiichiro Ito,5212,Shizuoka BlueRevs,84.08,87.92,125,1,86,61,0,0,28,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,03,3,Tighthead Prop,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
35,948832,39245,Justin Sangster,5212,Shizuoka BlueRevs,84.08,87.92,125,1,86,61,0,0,28,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,04,4,Lock (4),0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
36,948832,19737,Murray Douglas,5212,Shizuoka BlueRevs,84.08,87.92,125,1,86,61,0,0,28,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,05,5,Lock (5),0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
37,948832,62314,Vueti Tupou,5212,Shizuoka BlueRevs,84.08,87.92,125,1,86,61,0,0,28,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,06,6,Blindside Flanker,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
38,948832,33358,Daniel Maiava,5212,Shizuoka BlueRevs,84.08,87.92,125,1,86,61,0,0,28,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,07,7,Openside Flanker,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
39,948832,20655,Kwagga Smith,5212,Shizuoka BlueRevs,84.08,87.92,125,1,86,61,0,0,28,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,08,8,Number 8,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,Y,L,0,,0,,
40,948832,21191,Keita Inagaki,19567,Saitama Wild Knights,84.08,87.92,125,1,86,61,0,0,29,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,01,1,Loosehead Prop,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
41,948832,24939,Atsushi Sakate,19567,Saitama Wild Knights,84.08,87.92,125,1,86,61,0,0,29,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,02,2,Hooker,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
42,948832,26232,Asaeli Ai Valu,19567,Saitama Wild Knights,84.08,87.92,125,1,86,61,0,0,29,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T05:31:49Z,1,1,3,0,0,5212,Shizuoka BlueRevs,19567,Saitama Wild Knights,18/04/2026,14:30,21,14,24,34,0,0,623,Shizuoka Stadium Ecopa,-1,,15,2026,03,3,Tighthead Prop,0,,0,,1001668,Motonori Mizutani,1001799,Souta Ouchi,1001505,Tetsuya Hirakawa,1001507,Daiki Kako,421,Japan Rugby League One D1,N,W,0,,0,,
